coolant_flow_L_min,h_cool_curve_W_K
6,1156.46666666667
6.5,1156.46666666667
7.5,1285.06756756757
9.1,1415.36744186047
10,1614.22764227642
11.1,1614.22764227642
11.5,1637.16666666666
