parameter,stack_model_index,value
book_theta1,12,0.313798014570513
book_theta3,14,-2.16840434497101e-18
book_theta4,15,6.22923762412631e-05
book_theta8,17,0.000204593457740055
book_theta9,18,2.28206062923902e-157
book_theta10,19,0.025
tau_mem_s,24,1
