case_id,dt_s,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,lambda_m_last_range,a_memb_last_range
cegr0608_016,0.1,20,0,ok,,0,1.93572958599864e-07,0.707673494521668,0.02300937011552
cegr0608_016,0.05,20,0,ok,,0,1.93689246858479e-07,0.708962107644943,0.0230426622807099
initial_noegr_13,0.1,722,0,ok,,0,8.60128492775456e-09,0.00520615113249079,0.000172045276963906
initial_noegr_13,0.05,722,0,ok,,0,8.3309880185523e-09,0.00522763993499353,0.000172732422508481
cegr0608_007,0.1,38,0.6205626263,ok,,0,2.61078639960449e-07,0.0133361419554845,0.000345288206618166
cegr0608_007,0.05,38,0.6205626263,ok,,0,2.61585807588032e-07,0.0133907379143068,0.00034669738207227
