k_mem_eff,GroupCount,sum_mMem_sign_changes_last,max_mMem_sign_changes_last,mean_mMem_sign_changes_last,sum_mMem_last_range_kg_s,max_mMem_last_range_kg_s,mean_mMem_last_range_kg_s,sum_lambda_m_last_range,max_lambda_m_last_range,mean_lambda_m_last_range,sum_a_memb_last_range,max_a_memb_last_range,mean_a_memb_last_range,sum_abs_mMem_over_prod,max_abs_mMem_over_prod,mean_abs_mMem_over_prod
0.05,29,0,0,0,0.000195303893931327,2.83659659258772e-05,6.73461703211472e-06,2.91612119424153,0.707673494521668,0.100555903249708,0.0842984212003236,0.02300937011552,0.00290684211035599,5.65707725314993,0.424321550296087,0.195071629418963
0.1,29,3196,200,110.206896551724,0.00286465553622859,0.00043115863728379,9.87812253871929e-05,6.32616440908207,2.24091493306075,0.218143600313175,0.324942603723496,0.186115397087608,0.0112049173697757,28.707576143792,6.83461532582243,0.989916418751447
0.2,29,4200,200,144.827586206897,0.0105697548959255,0.000859802456307055,0.000364474306756052,0.254333389883656,0.0414273821611673,0.00877011689253985,0.0377320364001683,0.00237964575415717,0.00130110470345408,85.0629143667663,7.21681840952447,2.9332039436816
0.5,29,5800,200,200,0.0271433952071852,0.00240318828959809,0.000935979145075353,0.255081395467103,0.116087282169959,0.0087959101885208,0.04097347782133,0.00704228149540098,0.0014128785455631,96.8037541056981,7.21681841293359,3.33806048640338
1,29,5800,200,200,0.0284273544119862,0.00249559847470549,0.000980253600413316,0.136916648514868,0.00954048301372623,0.00472126374189201,0.0335131216037388,0.00237933796361878,0.00115562488288754,97.3470629062899,7.21681841293359,3.35679527263069
