case_id,source_dataset,module,variable,unit,current_A,egr_fraction,initial_value,final_value,delta_value,last_window_mean,last_window_min,last_window_max,last_window_std,last_window_range,last_window_abs_slope_per_s,sign_changes_total,sign_changes_last_window,converged_by_range,message
initial_noegr_01,initial_noegr_steady_xlsx,stack_ca_out,p_kPa_abs,kPa,38,0,133.825,133.825,0,133.825,133.825,133.825,1.13970700429965e-13,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,stack_ca_out,liquid_flag,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,mO2_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,mN2_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,mH2Ov_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,mLiquid_kg_s,kg/s,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,T_C,degC,38,0,56,56,0,56,56,56,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,p_kPa_abs,kPa,38,0,133.825,133.825,0,133.825,133.825,133.825,1.13970700429965e-13,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,egr_return,liquid_flag,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,mO2_kg_s,kg/s,38,0,2.07839668566276e-05,0.000158111165642675,0.000137327198786047,0.000103932124890392,1.95342450879695e-05,0.00015812430284463,6.06070668756555e-05,0.00013859005775666,6.92884602773527e-06,0,0,0,
initial_noegr_01,initial_noegr_steady_xlsx,bench_out,mN2_kg_s,kg/s,38,0,0.00010536591368625,0.000753045330448054,0.000647679416761804,0.000509852482135792,0.000105366266023466,0.000753138970859939,0.000288574115321605,0.000647772704836473,3.23839532212294e-05,0,0,0,
