case_id,source_dataset,status,message,current_A,current_density_A_cm2,egr_fraction,V_exp,V_sim,err_V,stack_in_flow_SLPM,fresh_supply_flow_SLPM,stack_in_p_kPa_g,stack_out_p_kPa_g,cathode_dp_kPa,stack_in_T_C,stack_in_RH,pO2_stack_kPa,pCa_stack_kPa_abs,pCa_out_boundary_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,T_stack_C,xO2_stack,RH_stack,pO2_in_kPa,xO2_in,RH_in,lambda_m,lambda_ca,lambda_an,mMem_kg_s,N_drag_mol_s,N_diff_mol_s,J_drag_mol_m2_s,J_diff_mol_m2_s,J_net_mol_m2_s,mDrag_kg_s,mDiff_kg_s,mMem_raw_kg_s,mMem_limit_delta_kg_s,aCa_raw,aAn_raw,aCa_limited,aAn_limited,a_memb,a_memb_target_raw,a_memb_target,J_diff_ca_to_mem_mol_m2_s,J_diff_mem_to_an_mol_m2_s,dm_lambda_equiv_kg,k_mem_eff,tau_memb_s,membrane_dynamic_mode,mCaOut_kg_s,mIn_kg_s,lambdaO2,phaseCa_kg_s,phaseAn_kg_s,condensedCa_kg,condensedAn_kg,psatCa_next_kPa,psatAn_next_kPa,mV_ca_preclip_kg,mV_an_preclip_kg,resO2_kg_s,resN2_kg_s,resH2Oca_kg_s,resH2_kg_s,resH2Oan_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,E_Nernst_V,etaAct_V,etaOhm_V,etaCon_V
initial_noegr_01,initial_noegr_steady_xlsx,ok,,38,0.1,0,0.80165625,0.793104422333869,-0.00855182766613083,49.7,49.7,40,32.5,7.5,58.9,0.8,18.7041680698681,141.600203646027,133.825,134.627142651094,153.240801261587,61.2637973720327,0.132091392443368,1,26.4313536258226,0.187025321958766,0.8,11.4846735729183,14.003,9.40259064927023,-1.87895640667432e-05,0.00602885574643118,0.0268884416831951,0.00991588116189338,0.0442244106631498,-0.00171542647506282,0.000108611524351567,0.000484402805686431,-0.000375791281334865,0,1,0.880435277479018,1,0.880435277479018,0.940279345936604,0.940217638739509,0.940217638739509,0.0242090417622195,0.0200153689009303,-2.38055344431729e-08,0.05,10,1,0.00101502820643553,0.001071035,4.59262356283096,8.8581902937742e-06,0,8.8581902937742e-07,0,21.1414506180421,21.1414506180421,2.82818357571243e-05,1.80902949330656e-05,-1.35525271560688e-20,-2.71050543121376e-19,4.40457132572236e-20,3.3881317890172e-21,6.7762635780344e-21,2.71050543121376e-19,232.692998555207,280.224511221008,-281.497688862433,326.369522488323,2.6596790399112,1.19465768642054,0.267560817147602,0.00750867767080046,0.126483769268266
initial_noegr_02,initial_noegr_steady_xlsx,ok,,76,0.2,0,0.7726375,0.770885571413742,-0.00175192858625806,71.8,71.8,54.9,44.6,10.3,61.2,0.6,18.0344613021897,156.294874538289,145.925,150.400840789407,170.607795768873,63.2471588594623,0.115387413409846,1,30.0794278903335,0.192539144761296,0.6,11.3450640488575,14.003,9.17803416010827,-1.58308442947571e-05,0.0118532475312301,0.0294281553814074,0.0194954729132074,0.0484015713509989,-0.00144530492188958,0.000213539573184419,0.00053015645907956,-0.000316616885895142,0,1,0.873181809610848,1,0.873181809610848,0.936617921125608,0.936590904805424,0.936590904805424,0.0266630440203278,0.0217385273306711,-1.03000264581523e-08,0.05,10,1,0.00146355195574652,0.00154729,3.38039965979346,2.35303480426538e-05,0,2.35303480426538e-06,0,23.1417581249967,23.1417581249967,3.21643308903716e-05,1.95230040854421e-05,5.42101086242752e-20,-2.71050543121376e-19,-5.75982404132924e-20,-1.6940658945086e-20,-1.01643953670516e-20,2.71050543121376e-19,200.929810088192,587.46714516089,39.0515235743877,344.220411138959,3.26540035935112,1.19465850332864,0.282268771730757,0.0150203909158726,0.126483769268266
initial_noegr_03,initial_noegr_steady_xlsx,ok,,114,0.3,0,0.75044375,0.75559106121062,0.0051473112106204,90.2,90.2,60,46.1,13.9,62.3,0.6,19.8257208608286,160.329196603534,147.425,164.293716954574,185.20640462515,64.762467052334,0.123656335095685,1,31.0111539826871,0.192227825710133,0.6,10.8059212278286,14.003,8.33335227417896,-1.72011762764491e-05,0.0166155377426658,0.03571174526922,0.027328187076753,0.0587364231401645,-0.00157041180317058,0.000299333564784693,0.000643357090313674,-0.000344023525528981,0,1,0.844061314918221,1,0.844061314918221,0.922054248999492,0.922030657459111,0.922030657459111,0.0331211004026716,0.025615322737493,-8.57604792488535e-09,0.05,10,1,0.00190732082371027,0.00194381,2.82817392094889,3.83497599348933e-05,0,3.83497599348933e-06,0,24.7762777631314,24.7762777631314,3.56087405571569e-05,2.01142445848091e-05,-5.42101086242752e-20,-5.42101086242752e-20,-4.06575814682064e-20,1.35525271560688e-20,2.03287907341032e-20,5.42101086242752e-20,243.561140279029,909.097904351828,302.569973277303,357.857332248201,5.10945854729642,1.19628948696832,0.291670052484704,0.0225446040047344,0.126483769268266
initial_noegr_04,initial_noegr_steady_xlsx,ok,,152,0.4,0,0.73384375,0.741002166948859,0.00715841694885855,96.6,96.6,70.1,56.2,13.9,63.8,0.6,18.3637288309807,169.081523151223,157.525,174.141288798037,196.209781530586,66.6054262437108,0.108608726067345,1,32.9310350900372,0.192101706810776,0.6,10.3887744587513,14.003,7.71475495660145,-1.81885266671322e-05,0.0209820487663864,0.04117438179383,0.0345099486289251,0.0677210226872204,-0.00166055370291477,0.000377997483500106,0.00074176801684275,-0.000363770533342644,0,1,0.820535707477874,1,0.820535707477874,0.910285119102379,0.910267853738937,0.910267853738937,0.0389232684455555,0.0287977542416649,-6.03478040453452e-09,0.05,10,1,0.00202148997416245,0.00208173,2.27067124418183,6.74665669149221e-05,0,6.74665669149221e-06,0,26.8952349798789,26.8952349798789,4.10507360601469e-05,2.11107839402679e-05,1.0842021724855e-19,-2.16840434497101e-19,1.35525271560688e-20,0,-1.6940658945086e-20,2.16840434497101e-19,277.754382581276,1247.61072998038,589.220333822561,374.443281105745,6.19273247079309,1.19529757240895,0.297735738746489,0.0300758974453403,0.126483769268266
initial_noegr_05,initial_noegr_steady_xlsx,ok,,228,0.6,0,0.7102375,0.713155801862013,0.0029183018620127,120.4,120.4,90,73.5,16.5,68.6,0.6,16.9008675448508,187.245828357653,174.825,191.69998695217,218.730129469767,71.7707886909852,0.0902603155065698,1,36.3920985308738,0.190210890008487,0.6,10.0845838788467,14.003,7.28465790527463,-1.68609293158389e-05,0.0302151665858462,0.0489336425860403,0.0496959976740892,0.0804829647796716,-0.00153934835527912,0.000544334686290663,0.000881553272607441,-0.000337218586316777,0,1,0.802817760183919,1,0.802817760183919,0.901399625573876,0.90140888009196,0.90140888009196,0.0469410075022039,0.0335419572774677,3.13882904554883e-09,0.05,10,1,0.00250921731967001,0.00259462,1.87472879435769,0.000106662175617166,0,1.06662175617166e-05,0,33.6690829385089,33.6690829385089,5.29670334528172e-05,2.54698891911163e-05,0,0,-4.06575814682064e-20,-6.7762635780344e-21,-1.35525271560688e-20,4.06575814682064e-20,314.406040054986,1972.99963480738,1228.99524910924,420.930810098066,8.66753554509103,1.19216322435775,0.307384621577217,0.0451390316502594,0.126483769268266
initial_noegr_06,initial_noegr_steady_xlsx,ok,,266,0.7,0,0.701175,0.698173758047713,-0.00300124195228735,133.1,133.1,100,82,18,72.2,0.6,16.2377043577735,196.558409280765,183.325,194.874334961958,227.084011849879,75.1320365441223,0.0826100720757236,1,37.8671467033016,0.188089639653802,0.6,10.5518725986842,14.003,7.95612102207175,-8.65462506495403e-06,0.0375151963473219,0.047123290215365,0.0617026255712531,0.0775054115384294,-0.000790139298358813,0.000675846766451981,0.000848939267751062,-0.000173092501299081,0,1,0.829967535536843,1,0.829967535536843,0.914941853496203,0.914983767768422,0.914983767768422,0.0442345630674712,0.0332708484709582,1.48808497128499e-08,0.05,10,1,0.00278047475589478,0.002868305,1.76354485331628,0.000123648011170191,0,1.23648011170191e-05,0,38.808325767896,38.808325767896,6.06518494660295e-05,3.00575365160369e-05,4.06575814682064e-20,5.42101086242752e-19,1.35525271560688e-20,6.7762635780344e-21,-5.0821976835258e-21,5.42101086242752e-19,290.976508968927,2365.59648574893,1614.64198119405,451.182509366922,8.7954862190366,1.18880253947026,0.311507517074204,0.0526374950800799,0.126483769268266
initial_noegr_07,initial_noegr_steady_xlsx,ok,,342,0.9,0,0.68263125,0.676380860379631,-0.00625038962036928,163.1,163.1,120,98.9,21.1,74.2,0.6,16.7798257134972,215.442333303979,200.225,209.594270378982,244.975598567842,77.3321060729723,0.0778854622309609,1,41.6763080204541,0.188303662127885,0.6,10.5891346210911,14.003,8.01348593502107,-2.56333223058328e-07,0.0484690476351596,0.0487536207564859,0.079718828347302,0.0801868762442201,-2.34023948459096e-05,0.000873183464480738,0.000878310128941904,-5.12666446116656e-06,0,1,0.832159856902492,1,0.832159856902492,0.91599564021414,0.916079928451246,0.916079928451246,0.0457044090193581,0.034482467224862,3.00303386544723e-08,0.05,10,1,0.00340865816491077,0.003514805,1.68204890782541,0.000163068380908763,0,1.63068380908763e-05,0,42.5173953757956,42.5173953757956,6.88767959515888e-05,3.28100107409783e-05,-4.06575814682064e-20,7.58941520739853e-19,-2.03287907341032e-19,6.7762635780344e-21,-1.77347523331369e-20,7.58941520739853e-19,311.243369543725,3160.73193200266,2367.06245598942,470.98272978936,11.443376680152,1.18838475255631,0.31784151678948,0.0676786061189318,0.126483769268266
initial_noegr_08,initial_noegr_steady_xlsx,ok,,418,1.1,0,0.6660375,0.657660186894142,-0.00837731310585776,199.4,199.4,140,114.9,25.1,74.5,0.6,18.6449741360134,235.650247290568,216.225,230.474911573571,266.850754536972,78.6493170582334,0.0791213858266116,1,45.8068104950464,0.189813780151441,0.6,10.2122689818201,14.003,7.46892422289291,1.6044437530621e-06,0.0563579616344492,0.0545767583969063,0.0926940158461335,0.0897644052580695,0.000146480529403199,0.00101530445907386,0.000983215584012617,3.20888750612419e-05,0,1,0.810560648527469,1,0.810560648527469,0.90516197505492,0.905280324263735,0.905280324263735,0.0520766405147037,0.0376877647433658,4.06569624589378e-08,0.05,10,1,0.00417886956269143,0.00429707,1.69125213787844,0.000189688583558815,0,1.89688583558815e-05,0,44.8772807956461,44.8772807956461,7.42489009911509e-05,3.36059490614081e-05,-4.06575814682064e-20,8.67361737988404e-19,-9.48676900924816e-20,1.35525271560688e-20,1.48230765769503e-21,8.67361737988404e-19,363.714925471966,3988.32067005198,3123.19947244194,482.836579225592,18.5696929124835,1.19012119856455,0.323216669543255,0.0827605728588838,0.126483769268266
initial_noegr_09,initial_noegr_steady_xlsx,ok,,494,1.3,0,0.646875,0.639173711408813,-0.00770128859118679,235.1,235.1,150,119.9,30.1,74.3,0.5,19.9625473779977,248.146045561026,221.225,241.53226851,278.606400718836,79.7025664750182,0.0804467680831464,1,48.7267192617257,0.193879316668559,0.5,9.89070165363842,14.003,7.02455778986801,3.83401991203132e-06,0.0637520037836202,0.059495594877368,0.104855269380954,0.0978545968377764,0.000350033627158895,0.00114851019872298,0.00107182980048235,7.66803982406264e-05,0,1,0.791462548638959,1,0.791462548638959,0.895592692144711,0.895731274319479,0.895731274319479,0.0576643446549737,0.0401902521828027,4.60766564898804e-08,0.05,10,1,0.00497435018036331,0.005066405,1.71049060577994,0.000178477390247069,0,1.78477390247069e-05,0,46.8424339308022,46.8424339308022,7.53762322691627e-05,3.41488280818854e-05,1.35525271560688e-20,-4.33680868994202e-19,5.42101086242752e-20,2.03287907341032e-20,4.15046144154607e-20,4.33680868994202e-19,365.669282447618,4859.58698502474,3972.83280106037,492.315784889515,28.7691166272397,1.19122196195936,0.327711261796374,0.0978532194859051,0.126483769268266
initial_noegr_10,initial_noegr_steady_xlsx,ok,,570,1.5,0,0.62398125,0.621612729578174,-0.00236852042182634,271.6,271.6,149.9,112.5,37.4,75.1,0.45,20.0013315726156,247.465831392576,213.825,243.50592875853,279.773551806224,79.7753796218127,0.0808246191405948,1,48.9778782815088,0.194956227610743,0.45,9.57529074408937,14.003,6.60519621855391,6.50876326475519e-06,0.0703863360176641,0.0631605107573793,0.115767000029053,0.103882419008848,0.000594229051010264,0.0012680295515323,0.0011378542862372,0.000130175265295104,0,1,0.771963736375194,1,0.771963736375194,0.885890173418048,0.885981868187597,0.885981868187597,0.0621753647110048,0.0417070542978427,2.94787815517166e-08,0.05,10,1,0.00577675039330761,0.00585298,1.71867575115705,0.000178030663556399,0,1.78030663556399e-05,0,46.9809125523404,46.9809125523404,7.54897250665276e-05,3.33990637795183e-05,-1.76182853028894e-19,7.58941520739853e-19,-3.25260651745651e-19,6.7762635780344e-21,-2.71050543121376e-20,7.58941520739853e-19,205.559224659221,5767.37190624706,5039.93714538833,492.974305411821,28.901230787686,1.19223245170649,0.331177730015229,0.112958222844823,0.126483769268266
