tau_memb_s,GroupCount,sum_mMem_sign_changes_last,max_mMem_sign_changes_last,mean_mMem_sign_changes_last,sum_mMem_last_range_kg_s,max_mMem_last_range_kg_s,mean_mMem_last_range_kg_s,sum_lambda_m_last_range,max_lambda_m_last_range,mean_lambda_m_last_range,sum_a_memb_last_range,max_a_memb_last_range,mean_a_memb_last_range,sum_abs_mMem_over_prod,max_abs_mMem_over_prod,mean_abs_mMem_over_prod
10,29,3196,200,110.206896551724,0.00286465553622859,0.00043115863728379,9.87812253871929e-05,6.32616440908207,2.24091493306075,0.218143600313175,0.324942603723496,0.186115397087608,0.0112049173697757,28.707576143792,6.83461532582243,0.989916418751447
30,29,3194,200,110.137931034483,0.0054645582079298,0.000435709249726814,0.000188433041652752,16.9616624963494,1.67647583591059,0.584884913667222,1.38939392260494,0.125727936104584,0.0479101352622394,44.4444015499482,6.80885443740871,1.53256557068787
60,29,3400,200,117.241379310345,0.0074794541788822,0.000488208678114996,0.000257912213064903,9.90458573676015,1.19181512916421,0.341537439198626,0.510699517954043,0.0465879930547324,0.0176103282053118,70.092607145693,6.75690069953372,2.41698645329976
105,29,3402,200,117.310344827586,0.00773016031669775,0.000506293336397793,0.000266557252299922,9.39594682502774,0.760145075981175,0.323998166380267,0.603915593786188,0.0603461337955021,0.0208246756477996,71.1893550850079,6.87666752276385,2.45480534775889
