model,flow_slpm,dry_in_T_C,dry_in_RH,dry_in_p_kPa_abs,dry_out_T_meas_C,dry_out_RH_meas,dry_out_p_kPa_abs,wet_in_T_C,wet_in_RH,wet_in_p_kPa_abs,wet_out_T_meas_C,wet_out_RH_meas,wet_out_p_kPa_abs,dry_dp_meas_kPa,wet_dp_meas_kPa,NTU,low_flow_correction_factor,counterflow_effectiveness,mass_flow_ratio,transfer_g_s,device_limit_g_s,dry_saturation_acceptance_g_s,wet_vapor_available_g_s,transfer_limit_source,dry_out_humidity_meas_gpkg,dry_out_humidity_pred_gpkg,wet_out_humidity_meas_gpkg,wet_out_humidity_pred_gpkg,dry_out_T_pred_C,dry_out_RH_pred,wet_out_T_pred_C,wet_out_RH_pred,dry_dp_pred_kPa,wet_dp_pred_kPa,dry_out_T_error_C,dry_out_humidity_error_gpkg,dry_out_RH_error_pct,wet_out_T_error_C,wet_out_humidity_error_gpkg,wet_out_RH_error_pct,dry_dp_error_kPa,wet_dp_error_kPa,dry_sensible_heat_W,wet_sensible_heat_W,latent_heat_W,heat_residual_W
GZS80P,1425,65.1,0.057,142.425,64,0.953,140.125,71,0.999,136.625,61.3,0.967,133.725,2.30000000000001,2.90000000000001,1.50052402781649,1.07972117456649,0.62889522135065,0.840995470994461,2.80242120672306,2.80242120672306,3.41527600475245,4.60509956909427,device_capacity,121.75260496086,106.995381717345,113.043695587517,76.972076277162,63.6924377575253,0.867640267711255,59.1849759838826,0.76447713588953,2.11263150288579,2.83270530013758,-0.307562242474724,-14.7572232435153,-8.53597322887448,-2.11502401611736,-36.0716193103546,-20.252286411047,-0.187368497114221,-0.0672946998624298,-39.6441665045807,332.771628291948,6809.88353233703,-6437.4677375405
GZS80P,2895,70.1,0.192,179.425,70.1,0.797,175.725,75.1,0.999,165.425,66.6,0.968,158.725,3.69999999999999,6.70000000000002,0.962946164256832,1.02324400511457,0.50800738192438,0.856696578272733,4.14482222952501,4.14482222952501,6.38280468901671,9.19769346378492,device_capacity,104.007945584838,96.1421685122522,122.942235926853,105.847430466707,69.585226988142,0.758311380981013,65.9943935005695,0.87491813932574,4.49603489168481,6.97167520610245,-0.514773011858026,-7.86577707258606,-3.86886190189875,-0.605606499430507,-17.0948054601457,-9.30818606742601,0.796034891684826,0.271675206102429,-29.4551444372874,521.019844575301,10071.9180177458,-9521.44302873319
GZS80P,3619,75.1,0.208,211.325,71.8,0.807,205.425,77.2,0.999,192.225,69.3,0.969,183.025,5.89999999999998,9.20000000000002,0.832349629137259,1,0.46779503143503,0.87020367473502,4.32152810595658,4.32152810595658,6.83749675172598,10.7449760451165,device_capacity,95.9111924782901,87.1689464101046,119.776295739995,106.29798317803,72.9557410092821,0.70711808307403,71.195223852241,0.806087830568732,5.70324630548097,9.25784354164875,1.15574100928214,-8.74224606818557,-9.98819169259703,1.89522385224099,-13.478312561965,-16.2912169431268,-0.196753694519003,0.0578435416487366,-153.377848525618,429.518845628294,10501.3132974745,-9918.41660332057
GZS80P,4000,80.2,0.145,202.625,72.3,0.815,196.425,80.3,0.978,178.125,72.1,0.93,167.925,6.19999999999999,10.2,0.78776469966671,1,0.457043670498135,0.833480713508382,5.98705142467295,5.98705142467295,8.568791241535,14.5317226901808,device_capacity,104.789340790404,100.137257183478,146.658193504346,133.229574015698,75.4417115628507,0.685027550824931,74.4182945969972,0.777161939212818,6.34515447739736,10.5134420568964,3.1417115628507,-4.65208360692564,-12.9972449175069,2.31829459699716,-13.4286194886481,-15.2838060787182,0.145154477397369,0.313442056896378,-376.190283841024,465.007629161405,14548.5349619553,-13707.3370489528
GZS80P,5000,80.1,0.159,223.125,72.1,0.753,214.525,80.1,0.979,194.125,71.2,0.929,179.325,8.59999999999999,14.8,0.696780533088658,1,0.423305389269591,0.851827890751319,6.16766848446693,6.16766848446693,9.31820333689556,16.3845896711288,device_capacity,85.5627696300452,86.2505510369634,128.900616792621,124.674531055368,76.1114870411128,0.640865463231375,75.4177009086081,0.757901918923005,8.04827276333211,13.9598096166888,4.01148704111279,0.687781406918219,-11.2134536768625,4.21770090860805,-4.22608573725351,-17.1098081076995,-0.551727236667887,-0.84019038331121,-394.164793162029,462.728207706808,14987.4344172546,-14130.5414163858
GZS80P,6000,71.3,0.155,232.525,75,0.515,222.425,80.1,0.964,217.625,69.1,0.95,200.125,10.1,17.5,0.630298572248741,1,0.396633141636887,0.86749953376008,6.2013809907848,6.2013809907848,13.7450143100613,17.059468528452,device_capacity,61.736417511758,67.4071013013622,104.221949491113,107.569153633075,75.2228896604466,0.553252868196187,69.7589693819827,0.947729336367609,9.77400704124517,17.5989908161362,0.222889660446597,5.67068378960425,3.82528681961873,0.658969381982729,3.34720414196286,-0.227066363239126,-0.325992958754796,0.0989908161362223,465.215484832362,1226.34282099067,15069.3558076071,-14308.2284714488
