case_label,current_density_A_cm2,EGR,air_flow_scale,cathode_flow_nlpm,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_power_W,dq60_operating_map_ok,xO2_ca_in,pO2_ca_in_kPa,delta_pO2_ca_in_kPa,V_cell_sim,delta_V_cell_sim,P_stack_sim_W,delta_P_stack_sim_W,lambda_O2_actual,RH_ca_in,T_stack_C,risk_label,normal_operation_ok
baseline_j0p10_EGR0,0.1,0,1,49.7,3000,57.0499440999394,29,39.0963808647116,0,0.187025321958766,26.4313536258226,0,0.795989944779641,0,483.961886426022,0,3.11058069398807,0.8,61.7074477785523,dq60_map_boundary,0
representative_j0p10_EGR0p25_DQ60_4000rpm_flowScale4,0.1,0.25,4,198.8,4000,229.267597978629,32.3049301516028,173.355840537554,1,0.183307277405561,26.5117187274467,0.0803651016241638,0.795570815982292,-0.000419128797349178,483.707056117234,-0.254830308788257,0,0.826164028473758,61.7023222830789,oxygen_limit,0
