case_id,case_index,current_A,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error
bench_038A,1,38,0,0.795989944779641,483.961886426022,18.2062582118464,136.245223115523,61.7074477785523,-178.762725371378,278.470113573978,124.719181265611,330.370605261478,2.14305241826627,3.11058069398807,0.001071035,0,0.000690570341791254,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.7074477785523,0,5.5,61.6,60.6,-383.166666666667,1160.7422968259,0.8017,-0.00571005522035872
bench_038A,1,38,0.1,0.795811805029658,483.853577458032,17.7567581370362,136.205292406872,61.7075230200793,-178.755951152677,278.578422541968,124.806178174367,330.371282299737,2.15691322053989,3.07303448953864,0.001071035,6.95244017201552e-05,0.000625719615481397,6.95244017201552e-05,0.1,3000,57.1982983736803,29,1.25817939016247,39.1407708591739,1,112.325,59.2770092610921,141.325,95.6400045468618,58.9,141.325,0.183058808707835,25.8707861406347,0.818386168581048,64.7075230200793,0,5.5,61.6,60.6,-383.166666666667,1160.73914295072,0.8017,-0.00588819497034154
bench_038A,1,38,0.2,0.795596288446158,483.722543375264,17.2285284940552,136.163539122847,61.7076161800807,-178.747976776987,278.709456624736,124.913894117046,330.372120580262,2.17141870441499,3.02627297497176,0.001071035,0.000140026212495292,0.000560104849981167,0.000140026212495292,0.2,3000,57.354070450416,29,1.25817939016247,39.1857863726291,1,112.325,59.6593311259867,141.325,96.0641472259006,58.9,141.325,0.17853431785697,25.2313624711363,0.837292245743299,64.7076161800807,0,5.5,61.6,60.6,-383.166666666667,1160.73525396818,0.8017,-0.00610371155384148
bench_038A,1,38,0.3,0.795329890413145,483.560573371192,16.5981606059,136.119788260182,61.7077338870264,-178.738381629042,278.871426628808,125.049993617334,330.37317975087,2.1866348896457,2.96735373894289,0.001071035,0.000211575587557793,0.000493676370968184,0.000211575587557793,0.3,3000,57.5188624053454,29,1.25817939016247,39.231472803106,1,112.325,60.0473511652928,141.325,96.4946113821617,58.9,141.325,0.173291397343821,24.4904067296155,0.856759838923668,64.7077338870264,0,5.5,61.6,60.6,-383.166666666667,1160.73036134606,0.8017,-0.00637010958685502
bench_038A,1,38,0.4,0.794991585509108,483.354883989538,15.8318495755015,136.073837852399,61.7078864809298,-178.726509944114,279.077116010462,125.226432870887,330.374552858567,2.20264022512222,2.89199225556441,0.001071035,0.000284252135144871,0.000426378202717306,0.000284252135144871,0.4,3000,57.6949239624492,29,1.25817939016247,39.2778819283722,1,112.325,60.4415091334676,141.325,96.9318848732613,58.9,141.325,0.167098953908386,23.6152596611026,0.87683549712039,64.7078864809298,0,5.5,61.6,60.6,-383.166666666667,1160.72404801414,0.8017,-0.00670841449089177
bench_076A,2,76,0,0.773686702739362,940.803030531064,17.7230869836575,148.898580238757,63.4748565726498,-82.8695087188249,584.060969468936,318.075432882665,346.275366544023,2.57967876107313,2.40448254673352,0.00154729,0,0.00104316223717517,0,0,3000,72.522973442514,29,1.22794262134015,50.6704963643877,1,127.225,61.2,156.225,93.7849739497278,61.2,156.225,0.192539144761296,30.0794278903335,0.6,66.4748565726498,0,6,63.2,64.6,585.199999999996,1157.24150169015,0.7726,0.00108670273936196
bench_076A,2,76,0.1,0.773404204400436,940.45951255093,17.0642009387215,148.805403689739,63.4751133531415,-82.8531274950288,584.40448744907,318.3723488634,346.277677240823,2.60758883987555,2.36759200818776,0.00154729,0.00010546974461482,0.00094922770153338,0.00010546974461482,0.1,3000,72.7795035500549,29,1.22794262134015,50.7249913012987,1,127.225,61.5595856260257,156.225,94.1796039551665,61.2,156.225,0.186745040816402,29.1742440015424,0.633748026735197,66.4751133531415,0,6,63.2,64.6,585.199999999996,1157.24062546569,0.7726,0.000804204400435715
bench_076A,2,76,0.2,0.773053174586351,940.032660297003,16.2760734467919,148.705619058392,63.4754365359555,-82.8328336920482,584.831339702997,318.746046861464,346.280585480273,2.63754105330828,2.32019446301737,0.00154729,0.000213410252884131,0.000853641011536524,0.000213410252884131,0.2,3000,73.053199464505,29,1.22794262134015,50.7807696186661,1,127.225,61.9276396564749,156.225,94.5835276760427,61.2,156.225,0.180099237872207,28.1360034365855,0.668949989184729,66.4754365359555,0,6,63.2,64.6,585.199999999996,1157.23952799419,0.7726,0.000453174586351413
bench_076A,2,76,0.3,0.772602731847508,939.48492192657,15.313837894258,148.598214806225,63.4758565349262,-82.8068562630148,585.37907807343,319.23169491107,346.284364951461,2.66987447391387,2.25826173294984,0.00154729,0.0003241047033843,0.0007562443078967,0.0003241047033843,0.3,3000,73.3482098933794,29,1.22794262134015,50.837980958919,1,127.225,62.3051495090722,156.225,94.9978287615177,61.2,156.225,0.172322113489527,26.9210221799013,0.705799953135423,66.4758565349262,0,6,63.2,64.6,585.199999999996,1157.23810928197,0.7726,2.73184750843036e-06
bench_076A,2,76,0.4,0.771999266114605,938.75110759536,14.1085705946819,148.481921825075,63.4764262618507,-82.7721089700809,586.11289240464,319.890475810432,346.289491798836,2.70503376545319,2.17550897960152,0.00154729,0.000437899164629433,0.00065684874694415,0.000437899164629433,0.4,3000,73.6705902033581,29,1.22794262134015,50.8968099342828,1,127.225,62.693333350246,156.225,95.4238440976889,61.2,156.225,0.162987035135246,25.4626495640039,0.744536872365617,66.4764262618507,0,6,63.2,64.6,585.199999999996,1157.23619625969,0.7726,-0.000600733885395055
bench_114A,3,114,0,0.757545576895353,1381.76313225712,16.8114288517528,150.667680279125,64.8751515564987,-6.78672824407478,905.532867742877,549.514378094444,358.876499743054,3.92871814945455,2.16839920991369,0.00194381,0,0.00140550810980851,0,0,3000,87.4437021549634,28.2556297845037,1.21233759307532,59.7768921711017,0,133.069370219716,62.3,161.32500000422,92.899438575588,62.3,161.32500000422,0.192227825710133,31.0111539834983,0.600000000015693,67.8751515564987,0,6,64.4,66.3,794.199999999996,1156.50337366809,0.7504,0.00714557689535256
bench_114A,3,114,0.1,0.75715310481623,1381.0472631848,15.9713009583899,150.497228631937,64.8757041745179,-6.75601442604106,906.248736815196,550.153383480742,358.88147269095,3.96989506954518,2.12227802883517,0.00194381,0.0001420393305776,0.0012783539751984,0.0001420393305776,0.1,3000,87.8118341299766,28.2188165870023,1.2120609464102,59.776593374468,0,133.069370219716,62.7074324758138,161.288186806718,93.3067180991671,62.3,161.288186806718,0.185254995329581,29.8794422935952,0.640324997347501,67.8757041745179,0,6,64.4,66.3,794.199999999996,1156.503165099,0.7504,0.00675310481623037
bench_114A,3,114,0.2,0.756654627243888,1380.13804009285,14.9560181576702,150.312955748338,64.8764122037974,-6.71663066709297,907.157959907148,550.97209452822,358.88784416679,4.01465187923097,2.06348688270163,0.00194381,0.000287300872336593,0.00114920348934637,0.000287300872336593,0.2,3000,88.2083818236306,28.179161817637,1.21176294568096,59.7721317413779,0,133.069370219716,63.1242123394823,161.248532037353,93.7212140791687,62.3,161.248532037353,0.177161555559153,28.5670407673673,0.682815578953494,67.8764122037974,0,6,64.4,66.3,794.199999999996,1156.50289840707,0.7504,0.00625462724388803
bench_114A,3,114,0.3,0.755994074057284,1378.93319108049,13.6993129690906,150.112275534421,64.8773588100721,-6.6639077736588,908.362808919513,552.066677637412,358.896362568804,4.06367648695576,1.98679615955686,0.00194381,0.00043621283719089,0.00101782995344541,0.00043621283719089,0.3,3000,88.6408720274034,28.1359127972597,1.21143793459609,59.7622099586105,0,133.069370219716,63.5516252611586,161.205283016976,94.1435480987589,62.3,161.205283016976,0.167548649312837,27.0097274315878,0.727804732789077,67.8773588100721,0,6,64.4,66.3,794.199999999996,1156.50254271839,0.7504,0.0055940740572844
bench_114A,3,114,0.4,0.755064480098901,1377.2376117004,12.0955762397597,149.891760269083,64.8787029211634,-6.58889324212482,910.058388299604,553.620904528997,358.908458068335,4.11791894439632,1.88374103483255,0.00194381,0.000589303545470357,0.000883955318205536,0.000589303545470357,0.4,3000,89.1206143704383,28.0879385629562,1.21107741410799,59.744826691023,0,133.069370219716,63.9912958063782,161.157308782672,94.574320251816,62.3,161.157308782672,0.155785977071057,25.1060488108506,0.775713911191161,67.8787029211634,0,6,64.4,66.3,794.199999999996,1156.50203926794,0.7504,0.0046644800989013
bench_152A,4,152,0,0.74303041406939,1807.04996701676,16.0454517865857,159.729309196117,66.5729018811831,85.6228113017185,1242.67803298324,777.96855124297,374.154404474422,4.93226596413298,1.91058396562394,0.00208173,0,0.00163718308375014,0,0,3000,87.4508306362743,28.2549169363726,1.19735210269675,60.0430311917013,0,143.170083066148,63.8,171.42500000252,92.4993556529828,63.8,171.42500000252,0.192101706810776,32.9310350905214,0.600000000008821,69.5729018811831,0,6,65.9,69.3,1421.2,1156.13965869008,0.7338,0.00923041406938985
