case_id,case_index,current_A,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error,condition_target,pO2_ca_in_noEGR_kPa,pO2_ca_in_ratio_target,pO2_ca_in_target_kPa,pO2_ca_in_ratio_actual,pO2_ca_in_ratio_error,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
bench_038A,1,38,0.2,0.795596288446158,483.722543375264,17.2285284940552,136.163539122847,61.7076161800807,-178.747976776987,278.709456624736,124.913894117046,330.372120580262,2.17141870441499,3.02627297497176,0.001071035,0.000140026212495292,0.000560104849981167,0.000140026212495292,0.2,3000,57.354070450416,29,1.25817939016247,39.1857863726291,1,112.325,59.6593311259867,141.325,96.0641472259006,58.9,141.325,0.17853431785697,25.2313624711363,0.837292245743299,64.7076161800807,0,5.5,61.6,60.6,-383.166666666667,1160.73525396818,0.8017,-0.00610371155384148,pO2_ca_in_ratio,26.4313536258226,0.95,25.1097859445314,0.95459970867652,0.00459970867651982,good,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.4,0.794991585509108,483.354883989538,15.8318495755015,136.073837852399,61.7078864809298,-178.726509944114,279.077116010462,125.226432870887,330.374552858567,2.20264022512222,2.89199225556441,0.001071035,0.000284252135144871,0.000426378202717306,0.000284252135144871,0.4,3000,57.6949239624492,29,1.25817939016247,39.2778819283722,1,112.325,60.4415091334676,141.325,96.9318848732613,58.9,141.325,0.167098953908386,23.6152596611026,0.87683549712039,64.7078864809298,0,5.5,61.6,60.6,-383.166666666667,1160.72404801414,0.8017,-0.00670841449089177,pO2_ca_in_ratio,26.4313536258226,0.9,23.7882182632403,0.893456309329207,-0.00654369067079286,good,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.5,0.794546641511257,483.084358038844,14.8788811756857,136.025453113402,61.7080910738661,-178.711280750974,279.347641961156,125.462998644044,330.37639389041,2.21953017767554,2.79370833094453,0.001071035,0.00035814683329336,0.00035814683329336,0.00035814683329336,0.5,3000,57.8855481857766,29,1.25817939016247,39.3250734122468,1,112.325,60.8423117620992,141.325,97.3765298603336,58.9,141.325,0.159611105411227,22.5570394722417,0.897571078599509,64.7080910738661,0,5.5,61.6,60.6,-383.166666666667,1160.71562763289,0.8017,-0.00715335848874332,pO2_ca_in_ratio,26.4313536258226,0.85,22.4666505819492,0.853419760167114,0.00341976016711421,good,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.5,0.794546641511257,483.084358038844,14.8788811756857,136.025453113402,61.7080910738661,-178.711280750974,279.347641961156,125.462998644044,330.37639389041,2.21953017767554,2.79370833094453,0.001071035,0.00035814683329336,0.00035814683329336,0.00035814683329336,0.5,3000,57.8855481857766,29,1.25817939016247,39.3250734122468,1,112.325,60.8423117620992,141.325,97.3765298603336,58.9,141.325,0.159611105411227,22.5570394722417,0.897571078599509,64.7080910738661,0,5.5,61.6,60.6,-383.166666666667,1160.71562763289,0.8017,-0.00715335848874332,pO2_ca_in_ratio,26.4313536258226,0.8,21.1450829006581,0.853419760167114,0.0534197601671141,coarse_grid,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.5,0.794546641511257,483.084358038844,14.8788811756857,136.025453113402,61.7080910738661,-178.711280750974,279.347641961156,125.462998644044,330.37639389041,2.21953017767554,2.79370833094453,0.001071035,0.00035814683329336,0.00035814683329336,0.00035814683329336,0.5,3000,57.8855481857766,29,1.25817939016247,39.3250734122468,1,112.325,60.8423117620992,141.325,97.3765298603336,58.9,141.325,0.159611105411227,22.5570394722417,0.897571078599509,64.7080910738661,0,5.5,61.6,60.6,-383.166666666667,1160.71562763289,0.8017,-0.00715335848874332,pO2_ca_in_ratio,26.4313536258226,0.75,19.8235152193669,0.853419760167114,0.103419760167114,coarse_grid,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.5,0.794546641511257,483.084358038844,14.8788811756857,136.025453113402,61.7080910738661,-178.711280750974,279.347641961156,125.462998644044,330.37639389041,2.21953017767554,2.79370833094453,0.001071035,0.00035814683329336,0.00035814683329336,0.00035814683329336,0.5,3000,57.8855481857766,29,1.25817939016247,39.3250734122468,1,112.325,60.8423117620992,141.325,97.3765298603336,58.9,141.325,0.159611105411227,22.5570394722417,0.897571078599509,64.7080910738661,0,5.5,61.6,60.6,-383.166666666667,1160.71562763289,0.8017,-0.00715335848874332,pO2_ca_in_ratio,26.4313536258226,0.7,18.5019475380758,0.853419760167114,0.153419760167114,coarse_grid,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_076A,2,76,0.15,0.773238823284731,940.258409114233,16.6886750953222,148.756395460678,63.4752651022406,-82.8435594335069,584.605590885767,318.547817049009,346.279042791354,2.62229047891141,2.34541909763437,0.00154729,0.00015911472509869,0.000901650108892577,0.00015911472509869,0.15,3000,72.9139804978915,29,1.22794262134015,50.7527113807737,1,127.225,61.7424969696568,156.225,94.3803414132505,61.2,156.225,0.183543496968443,28.6740828138951,0.651156045466408,66.4752651022406,0,6,63.2,64.6,585.199999999996,1157.24010946581,0.7726,0.000638823284730972,pO2_ca_in_ratio,30.0794278903335,0.95,28.5754564958168,0.953278862830697,0.00327886283069734,good,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_076A,2,76,0.3,0.772602731847508,939.48492192657,15.313837894258,148.598214806225,63.4758565349262,-82.8068562630148,585.37907807343,319.23169491107,346.284364951461,2.66987447391387,2.25826173294984,0.00154729,0.0003241047033843,0.0007562443078967,0.0003241047033843,0.3,3000,73.3482098933794,29,1.22794262134015,50.837980958919,1,127.225,62.3051495090722,156.225,94.9978287615177,61.2,156.225,0.172322113489527,26.9210221799013,0.705799953135423,66.4758565349262,0,6,63.2,64.6,585.199999999996,1157.23810928197,0.7726,2.73184750843036e-06,pO2_ca_in_ratio,30.0794278903335,0.9,27.0714851013001,0.894997813058566,-0.00500218694143439,good,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_076A,2,76,0.4,0.771999266114605,938.75110759536,14.1085705946819,148.481921825075,63.4764262618507,-82.7721089700809,586.11289240464,319.890475810432,346.289491798836,2.70503376545319,2.17550897960152,0.00154729,0.000437899164629433,0.00065684874694415,0.000437899164629433,0.4,3000,73.6705902033581,29,1.22794262134015,50.8968099342828,1,127.225,62.693333350246,156.225,95.4238440976889,61.2,156.225,0.162987035135246,25.4626495640039,0.744536872365617,66.4764262618507,0,6,63.2,64.6,585.199999999996,1157.23619625969,0.7726,-0.000600733885395055,pO2_ca_in_ratio,30.0794278903335,0.85,25.5675137067835,0.846513758733646,-0.00348624126635411,good,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_076A,2,76,0.5,0.771139855695873,937.706064526182,12.5484531599034,148.355116125581,63.4772474752098,-82.72263309352,587.157935473818,320.840054537078,346.29688172955,2.74363230071031,2.06158155512325,0.00154729,0.000555224573050854,0.000555224573050854,0.000555224573050854,0.5,3000,74.0296994184087,29,1.22794262134015,50.9574903513035,1,127.225,63.0937339558561,156.225,95.8632668157657,61.2,156.225,0.151406171089869,23.6534290785148,0.785459831708423,66.4772474752098,0,6,63.2,64.6,585.199999999996,1157.2334582823,0.7726,-0.001460144304127,pO2_ca_in_ratio,30.0794278903335,0.8,24.0635423122668,0.786365657111324,-0.0136343428886758,good,constant_pO2_ratio_lookup,1,1,1,1,0,1,dq60_map_extrapolation
