study_type,condition,case_id,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,V_cell_sim,V_cell_target,V_cell_target_error,pO2_ca_in_target_kPa,pO2_ca_in_kPa,pO2_ca_in_target_error_kPa,lambda_O2_actual,RH_ca_in,T_stack_C,solve_status,normal_operation_ok,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,risk_label
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.1,1,0.75715310481623,NaN,NaN,NaN,29.8794422935952,NaN,2.12227802883517,0.640324997347501,64.8757041745179,,1,1,1,1,1,1,ok
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.15,1,0.75691986706506,NaN,NaN,NaN,29.2492045081702,NaN,2.09473824383133,0.661280540853548,64.8760346868246,,1,1,1,1,1,1,ok
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.2,1,0.756654627243888,NaN,NaN,NaN,28.5670407673673,NaN,2.06348688270163,0.682815578953494,64.8764122037974,,1,1,1,1,1,1,ok
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.25,1,0.756349586692667,NaN,NaN,NaN,27.8242021289357,NaN,2.02780856804481,0.704973897424977,64.876848296066,,1,1,1,1,1,1,ok
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.3,1,0.755994074057284,NaN,NaN,NaN,27.0097274315878,NaN,1.98679615955686,0.727804732789077,64.8773588100721,,1,1,1,1,1,1,ok
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.35,1,0.755573042404081,NaN,NaN,NaN,26.1096809360649,NaN,1.93928251015048,0.751363700271919,64.8779661071486,,1,1,1,1,1,1,ok
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.4,1,0.755064480098901,NaN,NaN,NaN,25.1060488108506,NaN,1.88374103483255,0.775713911191161,64.8787029211634,,1,1,1,1,1,1,ok
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.45,1,0.754434659779185,NaN,NaN,NaN,23.975101836912,NaN,1.81813720104903,0.800927319939457,64.879619437319,,1,1,1,1,1,1,ok
constant_current_fixed_flow,constant_current_fixed_flow,bench_114A,114,0.3,0.5,1,0.753628679953735,NaN,NaN,NaN,22.6848969980711,NaN,1.73970036330837,0.827086352399323,64.8807973839624,,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.09_boundary_038A,34.2,0.09,0,1,0.798876867575237,0.8,-0.00112313242476336,NaN,26.4313536258226,NaN,3.33002763727282,0.8,61.6833829693356,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.09_boundary_038A,34.2,0.09,0.05,1,0.798802900069203,0.8,-0.00119709993079753,NaN,26.1862302824245,NaN,3.31333027230836,0.80846363279685,61.6834101415438,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.09_boundary_038A,34.2,0.09,0.1,1,0.79872228884907,0.8,-0.00127771115092967,NaN,25.9260389433686,NaN,3.29478390515497,0.81703525734875,61.6834401541251,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.09_boundary_038A,34.2,0.09,0.15,1,0.79863407977425,0.8,-0.00136592022575022,NaN,25.6489837488524,NaN,3.27414262055044,0.825718702453702,61.683473427346,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.09_boundary_038A,34.2,0.09,0.2,1,0.798537124941014,0.8,-0.00146287505898612,NaN,25.3529612334065,NaN,3.25111681708347,0.834518001303633,61.6835104670794,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.09_boundary_038A,34.2,0.09,0.25,1,0.798430030456999,0.8,-0.00156996954300059,NaN,25.0354908554527,NaN,3.22536317465844,0.843437402275864,61.6835518883435,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.08_boundary_038A,30.4,0.08,0.3,1,0.80155535781132,0.8,0.00155535781131999,NaN,24.892773260529,NaN,3.47926670886749,0.848365895978195,61.6596543079601,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.08_boundary_038A,30.4,0.08,0.35,1,0.801445261623743,0.8,0.00144526162374248,NaN,24.5694341107982,NaN,3.44948018628907,0.856789045847937,61.6596920388715,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.08_boundary_038A,30.4,0.08,0.4,1,0.801322434046982,0.8,0.00132243404698162,NaN,24.2196834888776,NaN,3.41597186953882,0.865325367744176,61.6597346800214,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.08_boundary_038A,30.4,0.08,0.45,1,0.801184495246184,0.8,0.00118449524618403,NaN,23.8395174942665,NaN,3.37813470599218,0.8739788747729,61.6597831669795,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.08_boundary_038A,30.4,0.08,0.5,1,0.801028425516653,0.8,0.00102842551665305,NaN,23.4240601151126,NaN,3.33522620546285,0.882753743592532,61.6598386893652,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.19_boundary_076A,72.2,0.19,0,1,0.775515969254763,0.775,0.000515969254763049,NaN,30.0794278903335,NaN,2.47726078382389,0.6,63.4492390672757,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.19_boundary_076A,72.2,0.19,0.05,1,0.775391538049167,0.775,0.000391538049167028,NaN,29.6627822504778,NaN,2.46055039306116,0.616032599725422,63.4493454746765,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.19_boundary_076A,72.2,0.19,0.1,1,0.77525420881472,0.775,0.00025420881472038,NaN,29.219216884286,NaN,2.44170687323769,0.63238111430259,63.4494636992028,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.19_boundary_076A,72.2,0.19,0.15,1,0.775101717391944,0.775,0.000101717391944312,NaN,28.7450923992921,NaN,2.42039209243654,0.649064074553656,63.4495958533569,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.19_boundary_076A,72.2,0.19,0.2,1,0.774931221701878,0.775,-6.87782981221297e-05,NaN,28.2360407928639,NaN,2.39619567751634,0.666101812273149,63.4497445922121,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.19_boundary_076A,72.2,0.19,0.25,1,0.774739101346057,0.775,-0.00026089865394352,NaN,27.6867692616056,NaN,2.36861489531833,0.68351670655222,63.44991330201,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.19_boundary_076A,72.2,0.19,0.3,1,0.774520666245319,0.775,-0.000479333754681455,NaN,27.0907963341385,NaN,2.33702744850497,0.701333473239161,63.4501063743718,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.19_boundary_076A,72.2,0.19,0.35,1,0.774269721428373,0.775,-0.000730278571626553,NaN,26.4400912808492,NaN,2.30065409988182,0.719579506483756,63.4503296159751,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.18_boundary_076A,68.4,0.18,0.4,1,0.776005616457358,0.775,0.00100561645735775,NaN,25.9815906778744,NaN,2.34908831987898,0.732174691462132,63.424907320757,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.18_boundary_076A,68.4,0.18,0.45,1,0.775700446278075,0.775,0.000700446278074751,NaN,25.244540119047,NaN,2.30276943953748,0.750437889863973,63.4251664747651,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.18_boundary_076A,68.4,0.18,0.5,1,0.775338018010415,0.775,0.000338018010414776,NaN,24.4237900323189,NaN,2.24852799697023,0.76918020909189,63.4254762187643,,1,1,1,1,1,0,dq60_map_extrapolation
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.35_boundary_114A,133,0.35,0,1,0.750431635419899,0.75,0.000431635419898657,NaN,31.0111539834983,NaN,1.98625862449971,0.600000000015693,65.0109059794547,,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.35_boundary_114A,133,0.35,0.05,1,0.7501961159145,0.75,0.000196115914499639,NaN,30.3732395629783,NaN,1.96255402390526,0.623076845075331,65.0112953670127,,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.35_boundary_114A,133,0.35,0.1,1,0.749929623994304,0.75,-7.03760056963709e-05,NaN,29.6861312476106,NaN,1.93572534264492,0.646814829642061,65.0117377493442,,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.35_boundary_114A,133,0.35,0.15,1,0.749624835522344,0.75,-0.000375164477656176,NaN,28.9418734537855,NaN,1.90518373854357,0.671266259007725,65.0122457912872,,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.34_boundary_114A,129.2,0.34,0.2,1,0.75071530133426,0.75,0.00071530133426001,NaN,28.2188652780558,NaN,1.90488175538896,0.693688202686099,64.9853159288306,,1,1,1,1,1,1,ok
constant_voltage_fixed_flow,constant_voltage_fixed_flow,j0.34_boundary_114A,129.2,0.34,0.25,1,0.750324362687093,0.75,0.00032436268709346,NaN,27.3583087216867,NaN,1.86543774743531,0.718946608351052,64.9859534219964,,1,1,1,1,1,1,ok
