case_id,case_index,current_A,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error,condition_target,V_cell_target,V_cell_target_error,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
bench_038A,1,38,0,0.795989944779641,483.961886426022,18.2062582118464,136.245223115523,61.7074477785523,-178.762725371378,278.470113573978,124.719181265611,330.370605261478,2.14305241826627,3.11058069398807,0.001071035,0,0.000690570341791254,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.7074477785523,0,5.5,61.6,60.6,-383.166666666667,1160.7422968259,0.8017,-0.00571005522035872,V_cell,0.8,-0.0040100552203588,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.05,0.795904899923478,483.910179153475,17.9901785832879,136.225475565244,61.7074834766303,-178.759468125632,278.521820846525,124.760456531991,330.370926479035,2.14990596113087,3.09281317281353,0.001071035,3.46440840384074e-05,0.00065823759672974,3.46440840384074e-05,0.05,3000,57.1232757728921,29,1.25817939016247,39.118500292677,1,112.325,59.0878628121951,141.325,95.4301680480052,58.9,141.325,0.185103771800265,26.1597905496725,0.809130516893904,64.7074834766303,0,5.5,61.6,60.6,-383.166666666667,1160.74079889655,0.8017,-0.00579510007652162,V_cell,0.8,-0.0040951000765217,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.1,0.795811805029658,483.853577458032,17.7567581370362,136.205292406872,61.7075230200793,-178.755951152677,278.578422541968,124.806178174367,330.371282299737,2.15691322053989,3.07303448953864,0.001071035,6.95244017201552e-05,0.000625719615481397,6.95244017201552e-05,0.1,3000,57.1982983736803,29,1.25817939016247,39.1407708591739,1,112.325,59.2770092610921,141.325,95.6400045468618,58.9,141.325,0.183058808707835,25.8707861406347,0.818386168581048,64.7075230200793,0,5.5,61.6,60.6,-383.166666666667,1160.73914295072,0.8017,-0.00588819497034154,V_cell,0.8,-0.00418819497034162,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.15,0.795709432451543,483.791334930538,17.5037569359147,136.184653951928,61.7075670103393,-178.752136208694,278.640665069462,124.857041639536,330.371678135778,2.16408150284308,3.05096501837253,0.001071035,0.0001046489483236,0.000593010707167067,0.0001046489483236,0.15,3000,57.2751690088439,29,1.25817939016247,39.1631977236246,1,112.325,59.4674831662507,141.325,95.8513137076476,58.9,141.325,0.180875042704103,25.5621654101573,0.82777172819922,64.7075670103393,0,5.5,61.6,60.6,-383.166666666667,1160.73730454822,0.8017,-0.00599056754845739,V_cell,0.8,-0.00429056754845747,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.2,0.795596288446158,483.722543375264,17.2285284940552,136.163539122847,61.7076161800807,-178.747976776987,278.709456624736,124.913894117046,330.372120580262,2.17141870441499,3.02627297497176,0.001071035,0.000140026212495292,0.000560104849981167,0.000140026212495292,0.2,3000,57.354070450416,29,1.25817939016247,39.1857863726291,1,112.325,59.6593311259867,141.325,96.0641472259006,58.9,141.325,0.17853431785697,25.2313624711363,0.837292245743299,64.7076161800807,0,5.5,61.6,60.6,-383.166666666667,1160.73525396818,0.8017,-0.00610371155384148,V_cell,0.8,-0.00440371155384156,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.25,0.795470536226655,483.646086025806,16.9279228680056,136.141925318019,61.7076714312144,-178.743415654893,278.785913974194,124.977778489679,330.372617749242,2.17893339016549,2.99856180446217,0.001071035,0.000175665220797179,0.000526995662391536,0.000175665220797179,0.25,3000,57.4352170483675,29,1.25817939016247,39.2085426519361,1,112.325,59.8526027889067,141.325,96.2785601811099,58.9,141.325,0.176015055055686,24.8753276557449,0.846953064850766,64.7076714312144,0,5.5,61.6,60.6,-383.166666666667,1160.73295469499,0.8017,-0.00622946377334488,V_cell,0.8,-0.00452946377334495,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.3,0.795329890413145,483.560573371192,16.5981606059,136.119788260182,61.7077338870264,-178.738381629042,278.871426628808,125.049993617334,330.37317975087,2.1866348896457,2.96735373894289,0.001071035,0.000211575587557793,0.000493676370968184,0.000211575587557793,0.3,3000,57.5188624053454,29,1.25817939016247,39.231472803106,1,112.325,60.0473511652928,141.325,96.4946113821617,58.9,141.325,0.173291397343821,24.4904067296155,0.856759838923668,64.7077338870264,0,5.5,61.6,60.6,-383.166666666667,1160.73036134606,0.8017,-0.00637010958685502,V_cell,0.8,-0.0046701095868551,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.35,0.795171469532402,483.4642534757,16.2346667861866,136.097101825761,61.707804965031,-178.732784810814,278.9677465243,125.132178577037,330.373819340975,2.19453341710145,2.93206809694724,0.001071035,0.000247767570800241,0.000460139774343305,0.000247767570800241,0.35,3000,57.6053094656206,29,1.25817939016247,39.2545835059648,1,112.325,60.2436329876642,141.325,96.7123637673416,58.9,141.325,0.170332084860849,24.0721818929595,0.866718545495695,64.707804965031,0,5.5,61.6,60.6,-383.166666666667,1160.72741678491,0.8017,-0.00652853046759794,V_cell,0.8,-0.00482853046759801,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.4,0.794991585509108,483.354883989538,15.8318495755015,136.073837852399,61.7078864809298,-178.726509944114,279.077116010462,125.226432870887,330.374552858567,2.20264022512222,2.89199225556441,0.001071035,0.000284252135144871,0.000426378202717306,0.000284252135144871,0.4,3000,57.6949239624492,29,1.25817939016247,39.2778819283722,1,112.325,60.4415091334676,141.325,96.9318848732613,58.9,141.325,0.167098953908386,23.6152596611026,0.87683549712039,64.7078864809298,0,5.5,61.6,60.6,-383.166666666667,1160.72404801414,0.8017,-0.00670841449089177,V_cell,0.8,-0.00500841449089184,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
bench_038A,1,38,0.45,0.794785435928198,483.229545044345,15.38280038213,136.049965921594,61.7079808005584,-178.719406566734,279.202454955655,125.33549212215,330.375401593157,2.21096780708247,2.84624224034064,0.001071035,0.000321041022725632,0.000392383472220217,0.000321041022725632,0.45,3000,57.7881526168572,29,1.25817939016247,39.3013757855102,1,112.325,60.6410451286195,141.325,97.1532473934814,58.9,141.325,0.163544904829014,23.1129836749604,0.887117346065881,64.7079808005584,0,5.5,61.6,60.6,-383.166666666667,1160.7201601954,0.8017,-0.00691456407180169,V_cell,0.8,-0.00521456407180176,good,constant_voltage_lookup,1,1,1,1,0,1,dq60_map_extrapolation
