condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,condition_target,V_cell_target,V_cell_target_error,current_density_solved_A_cm2,air_flow_control,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
constant_voltage_fixed_flow,j0.09_boundary_038A,1,38,0.1,34.2,0.09,0,1,49.7,0.798876867575237,437.145421937169,18.6932199471257,136.430666000784,61.6833829693356,-180.051300294261,249.04337806283,96.8923431089539,330.154047750026,2.04828749811069,3.33002763727282,0.001071035,0,0.000668091097603303,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.6833829693356,0,5.5,61.6,60.6,1162.0159833714,V_cell,0.8,-0.00112313242476336,0.09,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.09_boundary_038A,1,38,0.1,34.2,0.09,0.05,1,49.7,0.798802900069203,437.104946917868,18.4991766648297,136.412864531073,61.6834101415438,-180.048607276003,249.083853082132,96.9237599411662,330.15429224604,2.05440817092929,3.31333027230836,0.001071035,3.35087417757017e-05,0.000636666093738333,3.35087417757017e-05,0.05,3000,57.1187027699852,29,1.25817939016247,39.1176867314176,1,112.325,59.0809531440827,141.325,95.422502556142,58.9,141.325,0.18529085641199,26.1862302824245,0.80846363279685,64.6834101415438,0,5.5,61.6,60.6,1162.01409261749,V_cell,0.8,-0.00119709993079753,0.09,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.09_boundary_038A,1,38,0.1,34.2,0.09,0.1,1,49.7,0.79872228884907,437.060836458211,18.2902070620231,136.39469668823,61.6834401541251,-180.045716451689,249.127963541789,96.9584610617256,330.154562301455,2.06065663029746,3.29478390515497,0.001071035,6.72301468093842e-05,0.000605071321284457,6.72301468093842e-05,0.1,3000,57.1889283350794,29,1.25817939016247,39.1391280440661,1,112.325,59.2630566459271,141.325,95.6245257052913,58.9,141.325,0.183449771401865,25.9260389433686,0.81703525734875,64.6834401541251,0,5.5,61.6,60.6,1162.01200822807,V_cell,0.8,-0.00127771115092967,0.09,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.09_boundary_038A,1,38,0.1,34.2,0.09,0.15,1,49.7,0.79863407977425,437.012568452469,18.0644693129924,136.376147042629,61.683473427346,-180.042601077505,249.17623154753,96.9969324263759,330.154861698136,2.06703850052383,3.27414262055044,0.001071035,0.00010117092020738,0.000573301881175156,0.00010117092020738,0.15,3000,57.260750001616,29,1.25817939016247,39.1607091046657,1,112.325,59.4463470429819,141.325,95.8278655798504,58.9,141.325,0.181489359623933,25.6489837488524,0.825718702453702,64.683473427346,0,5.5,61.6,60.6,1162.00970189346,V_cell,0.8,-0.00136592022575022,0.09,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.09_boundary_038A,1,38,0.1,34.2,0.09,0.2,1,49.7,0.798537124941014,436.959514767723,17.8198031010726,136.357199151832,61.6835104670794,-180.039228554233,249.229285232277,97.0397589762232,330.155194988286,2.07355982200108,3.25111681708347,0.001071035,0.000135338151972957,0.000541352607891828,0.000135338151972957,0.2,3000,57.3343170747985,29,1.25817939016247,39.182434468071,1,112.325,59.6308630201441,141.325,96.0325650963183,58.9,141.325,0.179394737190211,25.3529612334065,0.834518001303633,64.6835104670794,0,5.5,61.6,60.6,1162.0071395837,V_cell,0.8,-0.00146287505898612,0.09,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.09_boundary_038A,1,38,0.1,34.2,0.09,0.25,1,49.7,0.798430030456999,436.90091266607,17.5536574719173,136.337835469231,61.6835518883435,-180.035559331644,249.28788733393,97.0876518578103,330.155567706278,2.08022710148558,3.22536317465844,0.001071035,0.00016973934928241,0.00050921804784723,0.00016973934928241,0.25,3000,57.4098033605111,29,1.25817939016247,39.2043089647024,1,112.325,59.8166456027208,141.325,96.2386697676129,58.9,141.325,0.177148352064056,25.0354908554527,0.843437402275864,64.6835518883435,0,5.5,61.6,60.6,1162.00428000715,V_cell,0.8,-0.00156996954300059,0.09,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.08_boundary_038A,1,38,0.1,30.4,0.08,0.3,1,49.7,0.80155535781132,389.876526039426,17.9543321845671,136.517428856323,61.6596543079601,-181.314246957779,220.069073960574,69.4541828629706,329.94051505658,1.98862299880204,3.47926670886749,0.001071035,0.000197147651741454,0.000460011187396725,0.000197147651741454,0.3,3000,57.4567070695779,29,1.25817939016247,39.2212185541135,1,112.325,59.9602606647739,141.325,96.3979943649291,58.9,141.325,0.176138498217081,24.892773260529,0.848365895978195,64.6596543079602,0,5.5,61.6,60.6,1164.27774016544,V_cell,0.8,0.00155535781131999,0.08,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.08_boundary_038A,1,38,0.1,30.4,0.08,0.35,1,49.7,0.801445261623743,389.822975253788,17.6781707385974,136.499435006413,61.6596920388715,-181.310802519804,220.122624746212,69.4978085523004,329.940854565894,1.99476414782117,3.44948018628907,0.001071035,0.000230742869227937,0.000428522471423311,0.000230742869227937,0.35,3000,57.5304488706999,29,1.25817939016247,39.2424926742521,1,112.325,60.1409441816566,141.325,96.5984422020673,58.9,141.325,0.173850586313803,24.5694341107982,0.856789045847937,64.6596920388715,0,5.5,61.6,60.6,1164.27265454802,V_cell,0.8,0.00144526162374248,0.08,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.08_boundary_038A,1,38,0.1,30.4,0.08,0.4,1,49.7,0.801322434046982,389.763231920452,17.3754375166839,136.481051692638,61.6597346800214,-181.307023459243,220.182368079548,69.5471119089283,329.941238260662,2.00104136920045,3.41597186953882,0.001071035,0.000264566975889378,0.000396850463834067,0.000264566975889378,0.4,3000,57.6063884728827,29,1.25817939016247,39.2639121626851,1,112.325,60.322862327963,141.325,96.8002597203028,58.9,141.325,0.171375789767398,24.2196834888776,0.865325367744176,64.6597346800214,0,5.5,61.6,60.6,1164.26691971853,V_cell,0.8,0.00132243404698162,0.08,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_flow,j0.08_boundary_038A,1,38,0.1,30.4,0.08,0.45,1,49.7,0.801184495246184,389.696138487744,17.0420169724922,136.462261548711,61.6597831669795,-181.302849065728,220.249461512256,69.6031747318526,329.941674559797,2.00746128633445,3.37813470599218,0.001071035,0.00029862772572565,0.000364989442553572,0.00029862772572565,0.45,3000,57.6847937032295,29,1.25817939016247,39.2854820185956,1,112.325,60.5060575623217,141.325,97.0034940226606,58.9,141.325,0.168685777422724,23.8395174942665,0.8739788747729,64.6597831669795,0,5.5,61.6,60.6,1164.26041390024,V_cell,0.8,0.00118449524618403,0.08,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation
