condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,condition_target,current_density_target_A_cm2,pO2_ca_in_noEGR_kPa,pO2_ca_in_target_kPa,pO2_ca_in_target_error_kPa,air_flow_control,solve_status,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label,life_model_version,life_equivalent_duration_h,life_voltage_factor,life_humidity_factor,life_temperature_factor,life_current_factor,life_cycling_factor,life_damage_rate_mV_h,life_delta_V_deg_mV,life_damage_index,life_projected_to_EOL_h,life_ECSA_ratio_proxy,life_high_potential_exposure_V_h,life_dry_exposure_h,life_high_potential_margin_mV,life_interpretation_status,life_group_key,life_rate_ratio_to_noEGR,life_benefit_vs_noEGR_pct,life_source_file
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0,1,49.7,0.795989944779641,483.961886426022,18.2062582118464,136.245223115523,61.7074477785523,-178.762725371378,278.470113573978,124.719181265611,330.370605261478,2.14305241826627,3.11058069398807,0.001071035,0,0.000690570341791254,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.7074477785523,0,5.5,61.6,60.6,1160.7422968259,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,0,solved_for_pO2_ca_in,solved,good,constant_pO2_inlet_variable_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.41188343965936,1,1.04709611367674,1,1,0.0177405319515824,0.0177405319515824,0.000236540426021099,4227.60716559631,0.999905383829592,0,0,-4.01005522035902,usable,constant_pO2_inlet_variable_flow|j=0.1,1,0,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.05,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.1,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.15,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.2,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.25,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.3,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.35,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.4,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.45,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
constant_pO2_inlet_variable_flow,bench_038A,1,38,0.1,38,0.1,0.5,6.75,335.475,0.724434855549852,440.45639217431,4.35100876120433e-07,119.389048272995,61.7449528971621,-176.924314973094,321.97560782569,168.087876188734,330.708114560759,0.103932049291406,0,0.00722948625,0,0,0,0,3000,385.087122674591,5.31289135076773,1.04729927754968,51.721143569786,0,112.325,58.9,117.637891350768,66.018600501875,58.9,117.637891350768,0.187025321958766,22.0012645044276,0.665914120506734,64.7449528971621,0,5.5,61.6,60.6,1159.60342621326,pO2_ca_in,0.1,26.4313536258226,26.4313536258226,-4.43008912139493,solved_for_pO2_ca_in,unreachable_with_current_DQ60_map,coarse_grid,constant_pO2_inlet_variable_flow,0,1,1,0,1,0,oxygen_limit,pemfc_life_v01,1,0.825522645629553,1.00711335008671,1.04814960929144,1,1,0.0104571145886053,0.0104571145886053,0.000139428194514738,7172.15053583944,0.999944228722194,0,0.0340858794932659,-75.5651444501481,trend_reference,constant_pO2_inlet_variable_flow|j=0.1,0.58944763421666,41.055236578334,condition_study_constant_pO2_inlet_solved.csv
