case_id,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,pO2_ca_in_kPa,lambda_O2_actual,T_stack_sim_C,RH_ca_in_vehicle,pH2O_caIn_vehicle_kPa,xH2O_caIn_vehicle,voltage_reconstructed_V,voltage_reconstruction_error_V,high_current_flag
bench_j0p10,38,0.1,0.80165625,0.817675975437507,0.0160197254375074,1.19622883030451,0.356111350921406,0.0223852922233609,5.62117222382755e-05,27.7201591111012,4.91459241694795,61.8873038775674,0.745039033511977,17.8295188174185,0.118748419986544,0.817675975437507,0,0
bench_j0p20,76,0.2,0.7726375,0.792013184196012,0.0193756841960117,1.19679543394378,0.356106834461929,0.0485958184148113,7.95968710331128e-05,30.4910166504855,3.54997721868071,63.6187526078919,0.7449612937342,19.3378518427171,0.11728461505065,0.792013184196012,0,0
bench_j0p30,114,0.3,0.75044375,0.764366697516171,0.0139229475161715,1.19727320362717,0.356011861405971,0.0767819340171844,0.000112710687842045,31.4044786659946,2.9731471227948,65.0333805853842,0.723601204625886,19.9557495971155,0.117485038062007,0.764366697516171,0,0
bench_j0p40,152,0.4,0.73384375,0.738684761695285,0.00484101169528506,1.19643107444867,0.356369183709465,0.101217528559768,0.000159600484151469,33.2440353446355,2.38807659696766,66.7456271300769,0.715328372629213,21.2351651664323,0.118026965721709,0.738684761695285,0,0
bench_j0p60,228,0.6,0.7102375,0.697907101073424,-0.0123303989265758,1.19328704944286,0.348601899565236,0.146458032273264,0.00032001653093608,36.4398647280051,1.98429552984753,72.1941174137725,0.689576350365458,25.741211952474,0.128913278991181,0.697907101073424,0,0
bench_j0p70,266,0.7,0.701175,0.686129690155408,-0.0150453098445922,1.19024539651177,0.34279657443196,0.160865982411683,0.000453149512719231,37.6739728796709,1.8802306717326,75.5123004530637,0.69374675343799,29.7808782824885,0.142078302507354,0.686129690155408,0,0
bench_j0p90,342,0.9,0.68263125,0.656482669704093,-0.0261485802959069,1.18975456929661,0.33799837226516,0.194364912696095,0.00090861463125736,41.4290835372222,1.79201883121889,77.8025202913708,0.673795068310589,31.7026229040336,0.138164995013166,0.656482669704093,0,0
bench_j1p10,418,1.1,0.6660375,0.618862384821179,-0.047175115178821,1.19117668343083,0.332923443017909,0.237568983284788,0.0018218723069586,45.6605182968672,1.79251825121533,79.3241107631347,0.630947111251813,31.3335964539222,0.125694594114301,0.618862384821179,0,1
bench_j1p30,494,1.3,0.646875,0.579068599589112,-0.0678064004108879,1.19187582835151,0.329350277943373,0.279803896390146,0.00365305442888305,47.9146467463154,1.78830007309157,80.5164823448022,0.588859280699643,30.4180431554229,0.117386361731466,0.579068599589112,0,1
bench_j1p50,570,1.5,0.62398125,0.530458744128821,-0.0935225058711792,1.19274056937475,0.328552501748804,0.326404547436033,0.0073247760610949,47.7729286392054,1.79048061762986,80.6074821674664,0.592443417300078,30.8450397395156,0.119148890189508,0.530458744128821,0,1
bench_j1p70,646,1.7,0.60195,0.483100886068596,-0.118849113931404,1.19311864875912,0.326448776936135,0.368882003835644,0.0146869819187429,47.902115242907,1.79621983471834,81.2544593287095,0.569088873419142,30.2845536224575,0.116958461354919,0.483100886068596,0,1
bench_j1p80,684,1.8,0.59018125,0.451071630887379,-0.139109619112621,1.19385620765415,0.327131467433649,0.39485606275454,0.0207970465785839,47.8445759100005,1.79201883121889,80.8507259823914,0.576420802157694,30.2944449520582,0.117116412652079,0.451071630887379,0,1
bench_j1p90,722,1.9,0.57885625,0.423510672756276,-0.155345577243724,1.19387794026726,0.325930272992354,0.414987979820802,0.0294490146978277,47.8233189263962,1.79242362426864,81.2936193287637,0.569375654227565,30.4297122158397,0.117623976704507,0.423510672756276,0,1
