case_name,volume_level,flow_level,K_ca_out_kg_s_kPa,K_an_out_kg_s_kPa,K_ca_man_out_kg_s_kPa,K_an_man_out_kg_s_kPa,V_ca_m3,V_an_m3,V_ca_manifold_m3,V_an_manifold_m3,V_tailgas_manifold_m3,pass_cathode_outlet,pass_anode_outlet,pass_cathode_manifold,m_ca_out_kg_s,m_an_out_kg_s,m_ca_manifold_out_kg_s,pCa_kPa,pAn_kPa,p_ca_manifold_kPa,p_an_manifold_kPa,p_stack_downstream_kPa,p_tailgas_kPa,pO2_ca_kPa,V_cell,recommended
flow_small,mid,small,1.342e-05,6.67e-06,0.000126901536633722,1.63340135912763e-05,0.000260768096208106,0.00012774975538137,0.0011,0.0032,0.003,1,1,1,0.00161873821868303,7.02039285633531e-06,0.00247078640444986,802.300420246408,178.291902153977,329.88754777077,101.325,185.266481022703,184.231693197371,91.1369904306173,0.806707742583534,0
flow_mid,mid,mid,1.342e-05,6.67e-06,0.0012,4e-05,0.000260768096208106,0.00012774975538137,0.0011,0.0032,0.003,1,1,1,0.00161873821868303,7.02039285633531e-06,0.00247078640444986,802.300420246408,178.291902153977,329.88754777077,101.325,185.266481022703,184.231693197371,91.1369904306173,0.806707742583534,0
flow_large,mid,large,1.342e-05,6.67e-06,0.0012,4e-05,0.000260768096208106,0.00012774975538137,0.0011,0.0032,0.003,1,1,1,0.00161873821868303,7.02039285633531e-06,0.00247078640444986,802.300420246408,178.291902153977,329.88754777077,101.325,185.266481022703,184.231693197371,91.1369904306173,0.806707742583534,0
vol_small,small,mid,1.342e-05,6.67e-06,0.0012,4e-05,2.72e-05,1.36e-05,0.0011,0.0032,0.003,1,1,1,0.00121432840860333,6.99164303072767e-06,0.00121428066433324,4681.30626118112,820.489875416673,253.370407335615,101.325,142.261586962512,141.636909159963,545.291429109727,0.887943702268714,1
vol_mid,mid,mid,1.342e-05,6.67e-06,0.0012,4e-05,0.000260768096208106,0.00012774975538137,0.0011,0.0032,0.003,1,1,1,0.00161873821868303,7.02039285633531e-06,0.00247078640444986,802.300420246408,178.291902153977,329.88754777077,101.325,185.266481022703,184.231693197371,91.1369904306173,0.806707742583534,0
vol_large,large,mid,1.342e-05,6.67e-06,0.0012,4e-05,0.0025,0.0012,0.0011,0.0032,0.003,1,1,1,0.00255795120567658,7.02331546129781e-06,0.00255806313281814,318.607392375304,109.52665197037,342.583679081888,101.325,189.852755913604,188.826792350132,34.2566851819804,0.76725916155565,0
