case_name,parameter,factor,score,T_stack_RMSE_C,RH_ca_in_RMSE,V_cell_RMSE,steady_points,pressure_order_pass
baseline,,1,2.27281268783982,23.9652784597275,0.489641547474322,0.00725450079608357,3,13
h_cool_W_K,h_cool_W_K,0.6,2.2987569685006,25.6250063921425,0.490320386522028,0.0100526056617559,3,13
h_cool_W_K,h_cool_W_K,1.4,2.2502794217253,22.449040408744,0.48895255807616,0.00581066242160519,4,13
h_cool_W_K,h_cool_W_K,2.2,2.21357065677782,19.7967063522456,0.487710015911165,0.00677217648802479,4,13
h_cool_W_K,h_cool_W_K,3.2,2.21450051672686,17.0804462225521,0.486165874984812,0.0102750808906926,6,13
h_amb_W_K,h_amb_W_K,0.5,2.22996138691105,20.1654566957252,0.4883041399527,0.00633819438854534,4,13
h_amb_W_K,h_amb_W_K,1.5,2.19802599810496,19.432229464046,0.487112560553029,0.00724215458161299,4,13
h_amb_W_K,h_amb_W_K,3,2.15643462339765,18.3646590831726,0.485182641452693,0.00882737351754791,5,13
hum_mem_area_m2,hum_mem_area_m2,1.5,2.1176615582719,18.3544620033063,0.477943844828691,0.00895725082243114,5,13
hum_mem_area_m2,hum_mem_area_m2,3,1.99593159283714,18.3238430233083,0.455473676838242,0.00956047166750544,5,13
hum_mem_area_m2,hum_mem_area_m2,5,1.82069599286799,18.2831225918847,0.423751350056385,0.0106764142168221,5,13
hum_mem_D_eff_m2_s,hum_mem_D_eff_m2_s,2,1.33332379948017,18.1828787420821,0.33796154330863,0.0135883575365107,5,13
hum_mem_D_eff_m2_s,hum_mem_D_eff_m2_s,5,0.555331560672941,17.9043098679003,0.136710444470608,0.0185243592452592,5,13
hum_mem_D_eff_m2_s,hum_mem_D_eff_m2_s,10,0.647987524104543,17.5960842573827,0.0806910312669685,0.0198349680909154,5,13
hum_beta_wet_m_s,hum_beta_wet_m_s,1.5,0.555375348915831,17.9041679040049,0.136641770283879,0.0185256965554101,5,13
hum_beta_wet_m_s,hum_beta_wet_m_s,3,0.555419720658211,17.9040258694925,0.136573118240824,0.0185270365114954,5,13
hum_beta_dry_m_s,hum_beta_dry_m_s,1.5,0.555375348915831,17.9041679040049,0.136641770283879,0.0185256965554101,5,13
hum_beta_dry_m_s,hum_beta_dry_m_s,3,0.555419720658211,17.9040258694925,0.136573118240824,0.0185270365114954,5,13
hum_heat_eff,hum_heat_eff,0.7,0.555331560672941,17.9043098679003,0.136710444470608,0.0185243592452592,5,13
hum_heat_eff,hum_heat_eff,1.2,0.555331560672941,17.9043098679003,0.136710444470608,0.0185243592452592,5,13
